date,impressions,clicks,spend,conversions,revenue
2025-05-03,54332,1428,2190,25,3204
2025-05-04,55120,1418,2187,31,4734
2025-05-05,96681,1609,3118,41,6627
2025-05-06,49655,1000,967,18,2988
2025-05-07,63861,1700,3788,26,2707
2025-05-08,21459,453,595,6,947
2025-05-09,84694,2083,2461,47,7073
2025-05-10,67730,2042,3410,41,5943
2025-05-11,11298,221,476,4,446
2025-05-12,29109,838,1285,12,2401
2025-05-13,44468,833,962,13,1802
2025-05-14,90661,1514,3002,18,2201
2025-05-15,16417,375,338,7,977
2025-05-16,58031,1173,1358,30,5036
2025-05-17,47140,914,1198,15,2108
2025-05-18,90411,1358,2312,35,5335
2025-05-19,66203,1881,2590,43,6943
2025-05-20,76395,837,1011,10,1181
2025-05-21,91812,1149,1684,27,4979
2025-05-22,58771,613,1228,15,2103
2025-05-23,75641,1049,1817,18,3100
2025-05-24,92985,1003,1612,17,2647
2025-05-25,66186,1708,3574,24,3426
2025-05-26,78687,2106,3613,43,6825
2025-05-27,30424,705,983,10,1825
2025-05-28,70366,2205,3427,45,7945
2025-05-29,62817,1155,1311,28,3567
2025-05-30,38503,1107,2252,19,3816
2025-05-31,22102,335,429,4,701
2025-06-01,50120,1288,1271,21,2836
2025-06-02,93058,1684,3313,40,4000
2025-06-03,25134,578,1066,13,2492
2025-06-04,54615,1112,1886,30,3273
2025-06-05,62835,1859,2105,39,5184
2025-06-06,76734,1230,2439,27,3115
2025-06-07,71613,1530,2011,34,6967
2025-06-08,91004,2013,2560,32,7188
2025-06-09,43271,604,963,8,1079
2025-06-10,82193,2477,2685,31,3895
2025-06-11,94018,1165,1513,14,2727
2025-06-12,18365,400,478,8,1616
2025-06-13,40263,1219,2622,30,5056
2025-06-14,63312,1142,1531,22,3795
2025-06-15,77585,2126,2678,54,9400
2025-06-16,87900,2531,4726,46,6813
2025-06-17,30114,461,690,7,1105
2025-06-18,30566,337,729,6,955
2025-06-19,43028,1145,1308,16,2963
2025-06-20,58773,1283,2329,34,6085
2025-06-21,72129,2156,3282,40,6904
2025-06-22,82176,2279,4080,40,6078
2025-06-23,65342,958,1937,21,3520
2025-06-24,65538,828,1458,17,2243
2025-06-25,30692,485,620,8,1616
2025-06-26,74313,1239,2077,28,4642
2025-06-27,27726,713,1424,15,2217
2025-06-28,23031,477,864,9,1549
2025-06-29,27504,419,473,9,1479
2025-06-30,41452,843,1636,17,2537
2025-07-01,84189,2352,3264,46,8158
2025-07-02,25428,637,659,14,2290
2025-07-03,61279,1182,2199,16,2458
2025-07-04,71106,1243,1376,18,3181
2025-07-05,88949,2286,3586,28,4519
2025-07-06,26132,546,757,7,893
2025-07-07,43244,1187,1829,26,4117
2025-07-08,75861,1348,2756,31,3086
2025-07-09,53933,904,1547,17,1862
2025-07-10,49348,1331,1852,16,2223
2025-07-11,82290,1116,1543,17,2839
2025-07-12,88328,2752,3364,63,10160
2025-07-13,39140,1182,1803,21,4413
2025-07-14,51534,679,1087,14,2800
2025-07-15,66793,1164,2154,23,3556
2025-07-16,78188,2020,3553,53,6337
2025-07-17,45734,1260,1730,21,4064
2025-07-18,73680,1569,3248,22,2626
2025-07-19,30301,434,529,11,1442
2025-07-20,30343,994,1430,12,2047
2025-07-21,21615,269,353,7,909
2025-07-22,21183,374,671,5,590
2025-07-23,16435,370,676,8,1532
2025-07-24,86669,2094,2228,33,3729
2025-07-25,41574,432,524,9,1531
2025-07-26,18458,346,497,8,1164
2025-07-27,50558,1578,2890,21,2788
2025-07-28,82330,1093,2151,20,2313
2025-07-29,39166,994,1238,17,2766
2025-07-30,50849,855,889,13,2204
2025-07-31,37335,849,1640,18,2975
2025-08-01,51942,860,1163,13,2157
2025-08-02,52511,798,941,19,2383
2025-08-03,72199,1967,2870,47,6460
2025-08-04,41541,737,1286,13,2077
2025-08-05,37318,868,1358,15,1994
2025-08-06,44137,638,686,14,1869
2025-08-07,58673,2040,3395,41,7863
2025-08-08,106960,1659,1903,33,4388
2025-08-09,35706,356,463,9,1065
2025-08-10,52249,1286,2414,14,2299
2025-08-11,80576,1153,2068,26,2980
2025-08-12,17630,307,589,6,1086
2025-08-13,53805,752,1138,9,1033
2025-08-14,87678,1935,2728,36,7318
2025-08-15,67967,2074,3519,28,3599
2025-08-16,28092,709,793,10,1473
2025-08-17,95908,1324,2186,23,3772
2025-08-18,78748,1495,2270,35,4900
2025-08-19,11723,250,397,5,714
2025-08-20,13511,271,494,4,657
2025-08-21,11744,193,239,3,639
2025-08-22,55379,1286,2507,18,3217
2025-08-23,92269,2105,2697,37,5606
2025-08-24,24200,753,894,15,2345
2025-08-25,94898,1339,2621,24,4446
2025-08-26,82128,1265,2304,25,3616
2025-08-27,59574,1379,2683,24,3025
2025-08-28,24834,386,659,4,686
2025-08-29,52708,619,896,14,2313
2025-08-30,15425,292,620,5,603
2025-08-31,71281,1339,1331,21,2821
2025-09-01,86224,1270,2626,28,3297
2025-09-02,54980,1536,1412,25,2705
2025-09-03,20759,579,656,6,1270
2025-09-04,88745,2322,3188,55,8498
2025-09-05,90562,1791,3166,32,6246
2025-09-06,31457,770,1563,11,2011
2025-09-07,16887,198,365,2,358
2025-09-08,52594,599,1092,15,2225
2025-09-09,16880,376,477,5,904
2025-09-10,66692,1275,2180,21,3156
2025-09-11,61970,640,1111,14,2808
2025-09-12,48632,701,1059,13,2447
2025-09-13,91672,1379,1561,35,5446
2025-09-14,81449,1527,2167,41,6863
2025-09-15,51464,592,887,9,1242
2025-09-16,52154,1496,2324,20,3593
2025-09-17,31475,531,1020,11,1433
2025-09-18,12277,177,294,3,609
2025-09-19,13766,142,265,2,265
2025-09-20,10679,156,316,3,414
2025-09-21,83585,1442,1709,24,4584
2025-09-22,85216,1613,3053,31,6251
2025-09-23,24444,721,1037,10,2179
2025-09-24,51143,1721,1863,37,4001
2025-09-25,66440,868,1705,13,1586
2025-09-26,65236,1605,2595,37,6155
2025-09-27,43894,628,944,13,2549
2025-09-28,14553,228,272,5,593
2025-09-29,28284,742,999,11,1367
2025-09-30,42083,1040,1615,19,2141
2025-10-01,61042,1671,2682,30,6131
2025-10-02,76058,2361,3366,49,4917
2025-10-03,92404,1801,1867,40,7367
2025-10-04,87773,1456,2180,37,7204
2025-10-05,45616,836,1254,15,2193
2025-10-06,51574,1324,2347,22,3951
2025-10-07,19918,404,488,5,1029
2025-10-08,91666,1823,3325,39,5127
2025-10-09,61157,1132,1413,15,2585
2025-10-10,82264,1448,1768,39,4921
2025-10-11,65303,1046,1510,19,2470
2025-10-12,18331,248,257,3,508
2025-10-13,91113,2710,2479,54,5903
2025-10-14,35818,917,1451,15,2396
2025-10-15,53530,1103,1625,22,3729
2025-10-16,55679,852,889,16,2659
2025-10-17,46054,714,1386,10,1195
2025-10-18,24167,303,481,8,1047
2025-10-19,15830,245,366,3,553
2025-10-20,77941,1962,1857,37,4952
2025-10-21,86583,2081,2878,36,3790
2025-10-22,63208,968,1339,13,1620
2025-10-23,53761,922,911,18,3360
2025-10-24,19823,527,638,12,1417
2025-10-25,73157,1205,1749,27,3220
2025-10-26,17151,423,500,8,1372
2025-10-27,47443,900,972,15,2745
2025-10-28,56847,973,1284,23,2908
2025-10-29,103800,1907,3233,33,4563
2025-10-30,61699,1127,1422,21,3905
2025-10-31,43734,1376,2001,30,3837
2025-11-01,18145,433,779,8,1310
2025-11-02,95605,1966,2052,26,4689
2025-11-03,12276,203,386,4,734
2025-11-04,13289,234,450,4,521
2025-11-05,20703,541,751,10,1573
2025-11-06,91303,2704,2745,63,10292
2025-11-07,35422,643,1117,13,1746
2025-11-08,86793,2282,2545,54,8343
2025-11-09,70545,1622,2471,36,6699
2025-11-10,21885,473,577,10,1507
2025-11-11,34153,443,377,9,1448
2025-11-12,55954,717,1400,14,2880
2025-11-13,101056,2456,2655,30,3577
2025-11-14,78238,1221,2048,19,2874
2025-11-15,73143,1265,1357,18,2304
2025-11-16,59011,529,751,12,1595
2025-11-17,68100,1984,2552,50,7546
2025-11-18,72521,977,1649,24,3333
2025-11-19,61360,783,1327,11,1757
2025-11-20,79103,1466,1778,32,6269
2025-11-21,24707,282,415,6,1119
2025-11-22,90610,2321,3228,37,3925
2025-11-23,65307,784,1151,9,1626
2025-11-24,48991,743,1302,10,1484
2025-11-25,17772,225,350,3,592
2025-11-26,15340,161,304,3,430
2025-11-27,14040,235,370,3,586
2025-11-28,76119,1764,3154,22,2812
2025-11-29,27517,702,1088,10,1905
2025-11-30,38969,1025,1451,17,2868
2025-12-01,106305,2531,2905,31,5833
2025-12-02,86838,1805,2577,37,6574
2025-12-03,63290,730,1257,12,2476
2025-12-04,110538,2668,5060,66,11025
2025-12-05,78543,749,1211,17,2394
2025-12-06,51464,1626,2787,22,4551
2025-12-07,69466,1623,2087,31,4149
2025-12-08,104688,1635,3452,29,5835
2025-12-09,75437,1700,2936,38,5132
2025-12-10,45951,906,1458,11,1636
2025-12-11,67590,712,1535,9,1779
2025-12-12,34901,345,630,4,603
2025-12-13,117250,2341,3446,45,6394
2025-12-14,23580,690,1219,12,1969
2025-12-15,118209,3022,4503,55,6257
2025-12-16,88263,2247,2807,54,10718
2025-12-17,47023,740,1013,9,1798
2025-12-18,92320,1798,2881,30,5413
2025-12-19,75577,2223,4012,35,4791
2025-12-20,97231,2509,3337,37,6166
2025-12-21,22728,263,395,4,799
2025-12-22,67243,1130,1306,16,1960
2025-12-23,68598,798,1184,16,3076
2025-12-24,72214,1685,2161,32,4583
2025-12-25,101958,1375,1523,22,3095
2025-12-26,28717,590,642,8,1397
2025-12-27,98027,2342,2389,27,5010
2025-12-28,93487,2371,4002,42,6751
2025-12-29,56358,1127,1266,15,1626
2025-12-30,46415,1176,1755,23,3770
2025-12-31,83988,2183,2219,41,5949
