date,impressions,clicks,spend,conversions,revenue
2025-04-11,77950,2622,2303,44,8218
2025-04-12,109882,2216,1513,25,2999
2025-04-13,30168,534,575,7,1149
2025-04-14,87700,1213,1132,27,4369
2025-04-15,97251,2596,3362,41,8217
2025-04-16,34338,468,292,10,1686
2025-04-17,97838,1187,1620,26,4553
2025-04-18,111480,2388,1933,54,7744
2025-04-19,31279,504,595,5,832
2025-04-20,50596,903,927,21,3780
2025-04-21,100697,2694,2923,69,11284
2025-04-22,102536,2354,2801,36,5763
2025-04-23,89706,2802,1535,52,7724
2025-04-24,101868,1180,1727,29,4524
2025-04-25,51639,1362,1642,28,5669
2025-04-26,84816,1259,1403,27,4630
2025-04-27,39447,656,770,11,1508
2025-04-28,76707,879,733,17,2954
2025-04-29,53101,993,830,19,2771
2025-04-30,76471,1696,1769,30,4114
2025-05-01,24448,256,238,5,766
2025-05-02,107312,1699,1489,31,3449
2025-05-03,66041,1702,1890,30,4232
2025-05-04,67456,1814,1683,38,5888
2025-05-05,105881,2191,2368,55,8333
2025-05-06,63438,1031,709,21,3399
2025-05-07,80609,2134,2905,33,3394
2025-05-08,36438,542,424,7,1127
2025-05-09,85077,2322,1996,55,7949
2025-05-10,73834,2410,2808,48,7077
2025-05-11,21139,275,350,5,615
2025-05-12,37740,955,1079,14,3124
2025-05-13,52306,932,904,17,2288
2025-05-14,117564,1981,2552,25,2710
2025-05-15,25364,434,294,11,1194
2025-05-16,74630,1584,1102,40,5770
2025-05-17,63489,1236,1066,17,2611
2025-05-18,105220,1702,2200,45,6598
2025-05-19,68778,2502,2106,56,8625
2025-05-20,93302,973,774,13,1478
2025-05-21,91348,1383,1440,31,5712
2025-05-22,70267,819,1027,16,2692
2025-05-23,80874,1432,1341,24,4057
2025-05-24,103764,1198,1091,19,3422
2025-05-25,72519,2402,2871,29,4566
2025-05-26,81742,2310,2913,50,8332
2025-05-27,46255,811,660,11,2062
2025-05-28,94627,2714,3004,57,10414
2025-05-29,64109,1488,971,34,4550
2025-05-30,56435,1325,1551,26,4441
2025-05-31,33813,407,307,5,902
2025-06-01,66532,1613,1095,24,3337
2025-06-02,103974,2068,2821,52,5089
2025-06-03,35392,676,828,16,2889
2025-06-04,69161,1584,1531,37,4150
2025-06-05,80677,2353,1604,52,6829
2025-06-06,93359,1868,1915,32,4092
2025-06-07,78392,1829,1556,45,8453
2025-06-08,107060,2532,2042,42,7701
2025-06-09,49858,789,770,10,1509
2025-06-10,92974,2773,2050,35,5401
2025-06-11,93927,1478,1062,17,3226
2025-06-12,31823,508,351,11,1858
2025-06-13,59219,1695,2012,34,6351
2025-06-14,73802,1658,1269,25,4429
2025-06-15,88524,2800,2039,63,11252
2025-06-16,96726,3424,3824,52,7945
2025-06-17,36420,662,479,7,1534
2025-06-18,46221,390,554,6,1072
2025-06-19,54089,1501,1190,20,3572
2025-06-20,66874,1626,1879,39,6844
2025-06-21,91720,2344,2869,48,7760
2025-06-22,91964,2823,3160,47,6828
2025-06-23,70888,1202,1493,27,4778
2025-06-24,85428,930,1150,21,2736
2025-06-25,36396,611,477,10,1991
2025-06-26,78357,1540,1818,33,5566
2025-06-27,39906,885,1028,17,2660
2025-06-28,36228,656,722,11,1760
2025-06-29,39763,491,423,12,1614
2025-06-30,56341,1160,1524,22,2871
2025-07-01,102174,2796,2695,61,11073
2025-07-02,37030,905,540,18,3241
2025-07-03,73230,1588,1728,20,3058
2025-07-04,84455,1691,1068,21,4326
2025-07-05,92695,3065,2735,42,4995
2025-07-06,32267,687,577,13,1117
2025-07-07,49360,1379,1306,33,5006
2025-07-08,89246,1769,2301,38,4229
2025-07-09,65614,1094,1319,22,2537
2025-07-10,66173,2013,1615,27,3401
2025-07-11,118239,1749,1258,26,4492
2025-07-12,139914,4706,3189,94,15597
2025-07-13,62911,1666,1635,31,7171
2025-07-14,84932,1185,975,22,3680
2025-07-15,93609,1602,1872,35,5424
2025-07-16,124150,3419,2803,76,11638
2025-07-17,74860,1800,1707,30,5678
2025-07-18,96309,2515,2606,30,3485
2025-07-19,48436,780,460,15,2100
2025-07-20,53788,1405,1194,21,3537
2025-07-21,44345,439,314,9,1294
2025-07-22,42269,592,628,7,908
2025-07-23,36574,612,607,10,2569
2025-07-24,126874,2860,1895,49,6114
2025-07-25,56370,625,436,11,2595
2025-07-26,35524,543,466,13,1746
2025-07-27,85624,2615,2503,28,4628
2025-07-28,114146,1953,1745,35,3609
2025-07-29,60645,1643,1032,25,4414
2025-07-30,72672,1264,843,20,3847
2025-07-31,56801,1344,1488,27,4700
2025-08-01,72010,1347,990,19,3600
2025-08-02,86525,1406,843,29,3621
2025-08-03,107947,3227,2650,71,9944
2025-08-04,59452,1316,1191,20,3230
2025-08-05,68815,1319,1205,24,3088
2025-08-06,68158,930,576,22,2774
2025-08-07,91525,2754,3285,73,11727
2025-08-08,146038,2784,1756,54,6610
2025-08-09,55344,549,378,13,1627
2025-08-10,81320,1666,2066,22,3387
2025-08-11,111175,1872,1598,40,4464
2025-08-12,35994,437,518,8,1701
2025-08-13,79584,1166,939,13,1572
2025-08-14,134124,3565,2409,62,11986
2025-08-15,106541,3467,3364,43,6003
2025-08-16,55197,1303,720,12,2471
2025-08-17,127402,1857,1873,37,5628
2025-08-18,97472,2158,2018,54,8260
2025-08-19,32607,432,359,8,1067
2025-08-20,29963,453,441,6,911
2025-08-21,27710,284,195,3,1143
2025-08-22,76252,2156,2121,25,5304
2025-08-23,125503,3915,2247,53,8839
2025-08-24,47190,1025,751,24,3415
2025-08-25,125100,1989,2401,39,7186
2025-08-26,119812,1838,1998,38,6247
2025-08-27,88306,2385,2099,40,4749
2025-08-28,44544,617,610,6,1000
2025-08-29,74391,1039,757,21,3654
2025-08-30,32545,472,518,7,984
2025-08-31,106510,2180,1230,30,4652
2025-09-01,94494,1522,2116,35,3754
2025-09-02,70589,1611,1136,33,3128
2025-09-03,29665,700,604,8,1551
2025-09-04,99274,3436,2446,60,10108
2025-09-05,101197,2414,2677,41,8241
2025-09-06,47386,1122,1286,13,2790
2025-09-07,28728,257,303,2,455
2025-09-08,54726,777,820,20,3113
2025-09-09,25895,517,353,6,1067
2025-09-10,75927,1465,1883,25,3475
2025-09-11,78245,764,800,19,3453
2025-09-12,59778,923,833,16,2848
2025-09-13,105615,1765,1363,47,6743
2025-09-14,98643,2265,1679,50,8539
2025-09-15,63590,732,730,9,1334
2025-09-16,68572,1670,1896,23,4124
2025-09-17,46975,711,744,13,1710
2025-09-18,23787,225,261,3,665
2025-09-19,24284,168,222,2,333
2025-09-20,20373,171,214,3,550
2025-09-21,107000,1702,1597,30,4962
2025-09-22,83233,1901,2625,40,8035
2025-09-23,31103,912,793,12,2327
2025-09-24,70541,2052,1695,46,5255
2025-09-25,80992,1169,1411,16,1739
2025-09-26,89844,2011,2096,51,9222
2025-09-27,53168,884,722,18,3181
2025-09-28,25790,290,229,5,796
2025-09-29,36441,980,812,13,1560
2025-09-30,50459,1404,1414,23,2532
2025-10-01,67085,1912,2178,38,6681
2025-10-02,84767,2601,2572,60,6182
2025-10-03,92837,2278,1400,44,7762
2025-10-04,91518,2090,1932,44,8930
2025-10-05,60713,1004,948,18,2567
2025-10-06,64768,1698,1963,28,5116
2025-10-07,27997,466,375,6,1296
2025-10-08,103912,2549,2582,50,6485
2025-10-09,72249,1466,1286,19,3309
2025-10-10,102424,1770,1333,44,5958
2025-10-11,81040,1374,1105,20,3000
2025-10-12,29842,366,206,3,622
2025-10-13,95787,2949,2021,58,7138
2025-10-14,42877,1058,1050,19,2899
2025-10-15,61603,1306,1510,29,5140
2025-10-16,67465,1104,825,19,3335
2025-10-17,56121,941,1093,12,1462
2025-10-18,33186,386,322,8,1201
2025-10-19,29150,298,301,3,776
2025-10-20,98084,2296,1731,47,6160
2025-10-21,104761,2277,2164,48,4421
2025-10-22,65544,1138,917,17,2100
2025-10-23,70268,986,766,22,4345
2025-10-24,27111,687,455,12,1810
2025-10-25,95429,1563,1379,33,3789
2025-10-26,28585,557,352,9,1706
2025-10-27,58874,1101,776,19,3495
2025-10-28,61164,1116,1041,26,4075
2025-10-29,111859,2516,2524,38,5255
2025-10-30,69058,1486,1130,28,5458
2025-10-31,59125,1690,1453,37,5356
2025-11-01,24384,523,565,10,1928
2025-11-02,102253,2360,1748,29,6406
2025-11-03,22978,301,303,5,1016
2025-11-04,22356,282,352,5,727
2025-11-05,30617,578,609,12,1928
2025-11-06,105759,3339,2154,77,13277
2025-11-07,47770,832,951,16,1892
2025-11-08,102215,2596,2138,67,10821
2025-11-09,79967,1954,2126,49,7434
2025-11-10,30876,582,442,12,1772
2025-11-11,49477,541,319,13,1516
2025-11-12,64687,881,1077,17,3909
2025-11-13,105163,3106,2246,37,4117
2025-11-14,93878,1738,1830,22,3306
2025-11-15,82506,1380,1089,21,2566
2025-11-16,60772,774,625,14,2168
2025-11-17,75895,2300,2068,60,9409
2025-11-18,85574,1380,1193,28,5019
2025-11-19,71516,810,1104,13,1996
2025-11-20,93071,1752,1370,43,7494
2025-11-21,34577,355,353,7,1639
2025-11-22,107430,3134,2650,39,5381
2025-11-23,68697,1033,1007,11,2310
2025-11-24,62015,1020,885,12,1911
2025-11-25,26230,296,277,3,700
2025-11-26,28554,232,239,3,548
2025-11-27,22922,323,329,3,727
2025-11-28,96010,2502,2679,30,3420
2025-11-29,38758,852,894,12,2479
2025-11-30,45666,1244,1187,20,3903
2025-12-01,75919,2098,2418,37,5712
2025-12-02,78510,1614,2062,43,6924
2025-12-03,55276,647,1018,14,2852
2025-12-04,92609,2428,3901,81,11594
2025-12-05,66369,735,995,24,2436
2025-12-06,50905,1581,2340,30,4082
2025-12-07,61287,1317,1657,37,4739
2025-12-08,87758,1633,2491,37,6428
2025-12-09,57427,1643,2313,49,5060
2025-12-10,37906,824,1292,14,1401
2025-12-11,59431,763,1249,12,1779
2025-12-12,36557,346,510,5,515
2025-12-13,84272,2113,2511,58,5962
2025-12-14,26243,640,1065,13,2217
2025-12-15,86600,2739,3791,79,5597
2025-12-16,72407,2202,2457,73,11209
2025-12-17,39996,685,769,11,1781
2025-12-18,74822,1589,2131,40,5856
2025-12-19,65011,2207,3436,49,4809
2025-12-20,89340,2314,2856,42,6143
2025-12-21,28734,274,312,5,779
2025-12-22,58608,956,1166,17,1734
2025-12-23,59262,700,874,21,2884
2025-12-24,73767,1761,1722,36,4101
2025-12-25,90803,1235,1204,29,2943
2025-12-26,35548,568,602,9,1336
2025-12-27,84233,2171,1948,37,4579
2025-12-28,75236,2160,3188,46,5751
2025-12-29,57807,969,959,16,1453
2025-12-30,48189,1097,1362,24,4209
2025-12-31,79467,2002,2063,46,5993
